ID,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
4437,67,male,2,own,Rich,little,1169,6,radio/TV
9543,22,female,2,own,little,moderate,5951,48,radio/TV
8489,49,male,1,own,little,Moderate,2096,12,education
4870,45,male,2,free,little,little,7882,42,furniture/equipment
5317,53,male,2,free,little,little,4870,24,car
9473,35,male,1,free,Moderate,Moderate,9055,36,education
4703,53,male,2,own,quite rich,Rich,2835,24,furniture/equipment
6034,35,male,3,rent,little,moderate,6948,36,car
8391,61,male,1,own,rich,Moderate,3059,12,radio/TV
1006,28,male,3,own,little,moderate,5234,30,car
7252,25,female,2,rent,little,moderate,1295,12,car
1906,24,female,2,rent,little,little,4308,48,business
2794,22,female,2,own,little,moderate,1567,12,radio/TV
9366,60,male,1,own,little,little,1199,24,car
8794,28,female,2,rent,little,little,1403,15,car
9501,32,female,1,own,moderate,little,1282,24,radio/TV
7385,53,male,2,own,Rich,Rich,2424,24,radio/TV
4203,25,male,2,own,Rich,little,8072,30,business
1767,44,female,3,free,little,moderate,12579,24,car
3350,31,male,2,own,quite rich,Rich,3430,24,radio/TV
3449,48,male,2,own,little,Rich,2134,9,car
1834,44,male,2,rent,quite rich,little,2647,6,radio/TV
3456,48,male,1,rent,little,little,2241,10,car
5398,44,male,2,own,moderate,moderate,1804,12,car
6668,26,male,2,own,Rich,Rich,2069,10,furniture/equipment
6717,36,male,1,own,little,little,1374,6,furniture/equipment
6275,39,male,1,own,little,Moderate,426,6,radio/TV
4020,42,female,2,rent,rich,rich,409,12,radio/TV
8363,34,male,2,own,little,moderate,2415,7,radio/TV
1792,63,male,2,own,little,little,6836,60,business
6232,36,male,2,own,rich,moderate,1913,18,business
7638,27,male,2,own,little,little,4020,24,furniture/equipment
4315,30,male,2,own,moderate,moderate,5866,18,car
2518,57,male,1,rent,Moderate,Moderate,1264,12,business
4363,33,female,3,own,little,rich,1474,12,furniture/equipment
2296,25,male,1,own,little,moderate,4746,45,radio/TV
9096,31,male,2,free,little,little,6110,48,education
6341,37,male,2,own,little,rich,2100,18,radio/TV
2459,37,male,2,own,little,rich,1225,10,domestic appliances
8248,24,male,2,own,little,moderate,458,9,radio/TV
2368,30,male,3,own,quite rich,Rich,2333,30,radio/TV
5380,26,male,2,own,quite rich,moderate,1158,12,radio/TV
1893,44,male,1,own,little,moderate,6204,18,repairs
5985,24,male,2,rent,moderate,little,6187,30,car
2822,58,female,1,free,little,little,6143,48,car
3682,35,female,3,own,little,Rich,1393,11,car
1289,39,male,2,own,quite rich,Rich,2299,36,radio/TV
1078,23,female,0,rent,quite rich,little,1352,6,car
1772,39,male,1,own,little,Moderate,7228,11,car
9544,28,female,2,own,moderate,Rich,2073,12,radio/TV
8533,29,male,1,own,Moderate,moderate,2333,24,furniture/equipment
4503,30,male,3,own,little,moderate,5965,27,car
4538,25,male,2,own,little,Rich,1262,12,radio/TV
9226,31,male,2,own,Rich,Rich,3378,18,car
8301,57,male,2,free,little,moderate,2225,36,car
8916,26,male,1,own,Moderate,Moderate,783,6,car
6590,52,male,3,own,Rich,moderate,6468,12,radio/TV
8769,31,female,2,own,little,Rich,9566,36,radio/TV
7012,23,female,3,own,little,rich,1961,18,car
5121,23,female,1,rent,little,little,6229,36,furniture/equipment
3673,27,male,2,own,little,moderate,1391,9,business
7410,50,male,2,own,Rich,moderate,1537,15,radio/TV
5972,61,male,3,free,little,moderate,1953,36,business
5525,25,male,2,own,little,moderate,14421,48,business
7534,26,female,2,own,little,Rich,3181,24,radio/TV
6939,48,male,2,own,Rich,Rich,5190,27,repairs
6401,29,female,2,own,little,Rich,2171,12,radio/TV
5097,22,male,2,own,rich,moderate,1007,12,car
9541,37,male,2,free,little,little,1819,36,education
4458,25,female,2,own,Rich,Rich,2394,36,radio/TV
5537,30,female,2,own,little,Rich,8133,36,car
3564,46,male,1,rent,Moderate,Moderate,730,7,radio/TV
5249,51,male,3,free,little,little,1164,8,vacation/others
9135,41,female,1,own,little,moderate,5954,42,business
2763,40,male,3,own,Rich,little,1977,36,education
8283,66,male,3,free,little,little,1526,12,car
6037,34,male,2,own,little,little,3965,42,radio/TV
1648,51,male,2,own,little,moderate,4771,11,radio/TV
1113,39,male,1,own,Moderate,Moderate,9436,54,car
4252,22,male,2,own,little,moderate,3832,30,furniture/equipment
4452,44,female,2,own,Rich,Rich,5943,24,radio/TV
9177,47,male,2,own,quite rich,Rich,1213,15,radio/TV
9071,24,female,1,rent,moderate,Moderate,1568,18,business
1684,58,female,1,own,little,little,1755,24,vacation/others
6073,52,male,1,own,little,little,2315,10,radio/TV
1204,29,female,3,own,little,Rich,1412,12,business
6463,27,female,2,own,little,moderate,1295,18,furniture/equipment
5206,47,male,2,free,moderate,moderate,12612,36,education
1365,30,male,3,own,moderate,little,2249,18,car
6259,28,male,2,own,little,little,1108,12,repairs
8904,56,male,2,own,little,Rich,618,12,radio/TV
6114,54,male,2,own,little,little,1409,12,car
3539,33,female,1,own,Moderate,Moderate,797,12,radio/TV
5717,20,male,2,rent,little,rich,3617,24,furniture/equipment
1552,54,male,2,own,rich,moderate,1318,12,car
5331,58,male,2,rent,little,moderate,15945,54,business
9800,61,female,2,own,Rich,Rich,2012,12,education
1473,34,male,2,own,moderate,moderate,2622,18,business
4074,36,male,2,own,little,moderate,2337,36,radio/TV
2162,36,male,3,rent,little,moderate,7057,20,car
6831,41,male,1,rent,moderate,Moderate,1469,24,car
9356,24,male,2,rent,little,moderate,2323,36,radio/TV
6963,24,female,2,own,little,Rich,932,6,radio/TV
9281,35,male,2,rent,little,moderate,1919,9,furniture/equipment
2726,26,male,2,rent,little,little,2445,12,car
4909,39,male,3,own,little,moderate,11938,24,vacation/others
6810,39,male,3,own,little,Rich,6458,18,car
7203,32,male,2,own,little,moderate,6078,12,car
2846,30,female,2,own,Rich,little,7721,24,furniture/equipment
6957,35,male,2,own,quite rich,moderate,1410,14,business
7822,31,male,2,own,moderate,moderate,1449,6,business
7454,23,female,2,rent,little,rich,392,15,education
9220,28,male,1,rent,little,moderate,6260,18,car
1549,25,female,2,own,little,Rich,7855,36,car
4166,35,male,2,own,quite rich,little,1680,12,radio/TV
8731,47,male,2,own,Rich,Rich,3578,48,radio/TV
9499,30,female,3,own,Rich,little,7174,42,radio/TV
7452,27,female,2,rent,little,little,2132,10,furniture/equipment
2039,23,female,2,own,quite rich,little,4281,33,furniture/equipment
9547,36,male,3,own,quite rich,moderate,2366,12,car
2668,25,female,2,own,little,little,1835,21,radio/TV
5743,41,female,3,rent,little,little,3868,24,car
6280,24,male,1,rent,little,Moderate,1768,12,furniture/equipment
4054,63,male,2,free,little,rich,781,10,car
3624,27,female,2,rent,little,moderate,1924,18,furniture/equipment
3494,30,male,2,own,little,little,2121,12,car
4764,40,male,1,own,little,little,701,12,radio/TV
1160,30,male,2,own,little,moderate,639,12,repairs
1779,34,male,3,own,little,moderate,1860,12,car
8080,29,female,2,own,little,little,3499,12,car
8891,24,female,2,own,Rich,moderate,8487,48,car
2075,29,male,2,own,little,little,6887,36,education
7850,27,male,1,own,little,Moderate,2708,15,furniture/equipment
2927,47,male,2,free,little,little,1984,18,furniture/equipment
6193,21,female,2,own,moderate,Rich,10144,60,radio/TV
4142,38,female,2,own,Rich,Rich,1240,12,radio/TV
7394,27,male,2,own,rich,Rich,8613,27,car
4239,66,male,1,own,quite rich,moderate,766,12,radio/TV
9414,35,male,2,own,Rich,moderate,2728,15,radio/TV
8610,44,female,1,rent,little,rich,1881,12,radio/TV
9957,27,male,0,own,rich,rich,709,6,car
3130,30,female,3,own,little,moderate,4795,36,radio/TV
7986,27,male,3,own,little,little,3416,27,radio/TV
9806,22,male,2,own,little,little,2462,18,furniture/equipment
1668,23,female,2,own,little,Rich,2288,21,furniture/equipment
2301,30,male,2,own,moderate,moderate,3566,48,business
8532,39,female,2,own,little,little,860,6,car
2108,51,female,2,own,moderate,Rich,682,12,car
7150,28,male,2,own,little,little,5371,36,furniture/equipment
7421,46,male,2,own,rich,Rich,1582,18,radio/TV
5149,42,male,2,free,moderate,little,1346,6,radio/TV
9728,38,male,2,own,little,Rich,1924,10,radio/TV
4241,24,male,2,own,little,rich,5848,36,radio/TV
1293,29,female,2,rent,rich,moderate,7758,24,car
8835,36,male,3,rent,moderate,moderate,6967,24,business
8151,20,female,2,rent,little,little,1282,12,furniture/equipment
4898,48,male,2,own,moderate,little,1288,9,repairs
2592,45,male,1,own,little,little,339,12,education
7352,38,male,2,own,moderate,moderate,3512,24,car
5110,34,male,1,own,Moderate,Moderate,1898,6,radio/TV
3138,36,male,2,own,moderate,Rich,2872,24,radio/TV
8122,30,female,2,own,little,Rich,1055,18,car
6231,36,male,2,own,quite rich,Rich,1262,15,domestic appliances
4212,70,male,3,free,little,moderate,7308,10,car
4426,36,male,2,own,quite rich,Rich,909,36,car
8883,32,male,2,own,quite rich,Rich,2978,6,furniture/equipment
7283,33,female,2,own,little,little,1131,18,furniture/equipment
3152,20,female,2,own,rich,moderate,1577,11,furniture/equipment
4403,25,female,2,rent,little,little,3972,24,furniture/equipment
5433,31,male,2,own,little,moderate,1935,24,business
5933,33,male,2,rent,little,little,950,15,car
3106,26,female,2,own,little,Rich,763,12,furniture/equipment
1047,34,female,3,own,little,moderate,2064,24,furniture/equipment
5634,33,male,2,own,little,moderate,1414,8,radio/TV
2875,26,male,2,own,little,little,3414,21,education
3528,53,female,3,own,Rich,Rich,7485,30,car
2962,42,male,2,own,little,little,2577,12,furniture/equipment
3831,52,male,2,own,quite rich,little,338,6,radio/TV
5706,31,male,3,rent,little,little,1963,12,radio/TV
2506,65,male,2,own,little,little,571,21,car
3523,28,male,2,own,little,Rich,9572,36,business
6087,30,male,3,own,little,moderate,4455,36,business
3047,40,male,1,own,Moderate,little,1647,21,car
7354,50,male,2,own,rich,Rich,3777,24,furniture/equipment
5539,36,male,2,own,little,moderate,884,18,car
2103,31,male,2,own,little,Rich,1360,15,radio/TV
8650,74,female,3,free,little,moderate,5129,9,car
3989,68,male,0,free,little,moderate,1175,16,car
5729,20,male,2,own,moderate,little,674,12,radio/TV
9169,33,female,2,own,little,moderate,3244,18,furniture/equipment
8946,54,male,3,own,rich,Rich,4591,24,business
1687,34,male,1,free,moderate,moderate,3844,48,business
8839,36,male,2,own,little,moderate,3915,27,business
5621,29,male,2,rent,little,little,2108,6,radio/TV
8324,21,male,2,rent,moderate,moderate,3031,45,radio/TV
9595,34,female,3,own,little,moderate,1501,9,education
2177,28,female,2,own,little,Rich,1382,6,radio/TV
1827,27,female,2,rent,moderate,moderate,951,12,furniture/equipment
9200,36,male,2,free,little,moderate,2760,24,car
1588,40,male,3,own,little,moderate,4297,18,furniture/equipment
2887,52,male,2,own,quite rich,Rich,936,9,education
8512,27,male,1,own,little,little,1168,12,car
3489,26,male,2,own,little,Rich,5117,27,business
3144,21,male,2,rent,little,little,902,12,education
3677,38,male,1,own,little,Moderate,1495,12,car
9430,38,male,3,free,little,little,10623,30,car
6320,43,male,2,own,little,Rich,1935,12,furniture/equipment
7597,26,male,2,own,little,moderate,1424,12,domestic appliances
9055,21,male,1,own,little,little,6568,24,business
4513,55,male,2,own,rich,Rich,1413,12,car
2434,33,male,2,own,Rich,Rich,3074,9,radio/TV
2642,45,female,1,own,Moderate,Moderate,3835,36,radio/TV
5849,50,male,2,own,little,little,5293,27,business
8477,66,male,3,own,little,rich,1908,30,business
2014,51,male,2,own,Rich,Rich,3342,36,radio/TV
6389,39,female,1,own,Moderate,moderate,932,6,education
8931,31,male,2,own,little,little,3104,18,business
4648,23,male,2,own,little,rich,3913,36,radio/TV
6332,24,male,1,rent,little,little,3021,24,furniture/equipment
9932,64,female,2,own,little,Rich,1364,10,car
6793,26,male,1,own,little,moderate,625,12,radio/TV
6498,23,female,2,rent,little,little,1200,12,education
5346,30,male,2,own,little,Rich,707,12,radio/TV
8428,32,male,2,own,Rich,Rich,2978,24,business
6613,30,male,2,own,little,Rich,4657,15,car
5925,27,male,2,own,little,Rich,2613,36,repairs
4476,27,male,2,own,rich,moderate,10961,48,radio/TV
9010,53,male,3,free,little,little,7865,12,furniture/equipment
6499,22,male,2,own,little,Rich,1478,9,radio/TV
4062,22,male,2,free,little,little,3149,24,furniture/equipment
2661,26,male,2,own,little,rich,4210,36,radio/TV
1301,51,male,1,free,quite rich,Moderate,2507,9,car
2803,35,male,2,own,moderate,Rich,2141,12,radio/TV
4026,25,male,1,own,little,moderate,866,18,radio/TV
9555,42,male,1,own,little,Moderate,1544,4,radio/TV
5982,30,male,3,own,little,little,1823,24,radio/TV
5499,23,male,0,own,little,moderate,14555,6,car
5540,61,male,1,rent,moderate,moderate,2767,21,business
3083,35,female,2,own,little,Rich,1291,12,radio/TV
4547,39,male,2,own,little,little,2522,30,radio/TV
3084,29,female,2,own,Rich,little,915,24,car
9650,51,male,2,own,little,Rich,1595,6,radio/TV
3473,24,male,2,free,little,little,4605,48,car
4619,27,female,2,own,little,Rich,1185,12,business
9058,35,female,1,own,quite rich,Moderate,3447,12,education
3255,25,male,2,own,little,Rich,1258,24,business
1180,52,male,2,own,little,Rich,717,12,radio/TV
4125,35,male,2,rent,moderate,little,1204,6,car
1286,26,male,2,own,little,rich,1925,24,furniture/equipment
7098,22,female,2,rent,little,little,433,18,radio/TV
2435,39,female,1,own,rich,little,666,6,car
1861,46,female,1,own,little,rich,2251,12,furniture/equipment
4765,24,female,2,own,little,moderate,2150,30,car
3276,35,male,2,own,moderate,Rich,4151,24,furniture/equipment
2007,24,male,2,own,Rich,moderate,2030,9,furniture/equipment
6350,27,male,1,own,Moderate,moderate,7418,60,radio/TV
9257,35,male,1,own,little,Moderate,2684,24,radio/TV
6968,29,male,2,free,little,little,2149,12,radio/TV
5427,23,female,2,own,moderate,Rich,3812,15,car
1090,57,female,1,own,moderate,Moderate,1154,11,radio/TV
8901,27,male,2,own,little,little,1657,12,furniture/equipment
1302,55,female,2,own,little,little,1603,24,radio/TV
1360,36,male,3,free,little,little,5302,18,car
9597,57,female,1,free,little,Moderate,2748,12,education
6765,32,male,1,own,little,Moderate,1231,10,car
7973,37,male,2,own,little,moderate,802,15,radio/TV
9127,36,male,2,own,Rich,Rich,6304,36,business
8427,38,female,2,own,little,Rich,1533,24,radio/TV
9500,45,male,3,own,little,little,8978,14,car
1421,25,male,2,own,Rich,Rich,999,24,radio/TV
4577,32,male,2,own,Rich,Rich,2662,18,car
2194,37,female,2,rent,quite rich,little,1402,12,furniture/equipment
1376,36,male,3,free,little,moderate,12169,48,car
9192,28,male,2,own,little,moderate,3060,48,radio/TV
8343,34,male,1,own,little,little,11998,30,repairs
4937,32,male,2,own,little,Rich,2697,9,radio/TV
2635,26,female,2,own,little,Rich,2404,18,radio/TV
3059,49,male,1,own,Moderate,little,1262,12,furniture/equipment
3732,32,female,2,own,little,Rich,4611,6,furniture/equipment
4906,29,male,3,rent,moderate,little,1901,24,radio/TV
7221,23,male,2,rent,rich,little,3368,15,car
1501,50,male,2,own,little,Rich,1574,12,furniture/equipment
4929,49,male,1,own,Moderate,rich,1445,18,radio/TV
8209,63,male,2,own,Rich,Rich,1520,15,furniture/equipment
1038,37,male,2,own,moderate,moderate,3878,24,car
8168,35,female,1,own,little,little,10722,47,car
3516,26,male,2,own,little,little,4788,48,car
9190,31,male,3,free,moderate,moderate,7582,48,vacation/others
3150,49,female,2,own,little,moderate,1092,12,radio/TV
3109,48,male,2,own,little,little,1024,24,radio/TV
1099,26,male,2,own,little,Rich,1076,12,business
1909,28,male,3,rent,little,moderate,9398,36,car
3069,44,female,3,free,little,little,6419,24,car
7984,56,male,2,free,little,rich,4796,42,car
1815,46,male,3,own,Rich,Rich,7629,48,business
6865,26,female,2,own,little,moderate,9960,48,furniture/equipment
8030,20,female,2,rent,little,little,4675,12,car
6779,45,male,1,own,Moderate,Moderate,1287,10,car
7437,43,male,2,own,little,Rich,2515,18,furniture/equipment
9364,32,male,2,own,rich,moderate,2745,21,furniture/equipment
5678,54,female,0,own,little,little,672,6,car
8229,42,female,2,own,little,moderate,3804,36,radio/TV
9681,37,male,1,own,Moderate,rich,1344,24,car
6786,49,male,2,own,little,little,1038,10,car
4527,44,male,2,free,quite rich,little,10127,48,car
5057,33,male,2,own,rich,Rich,1543,6,furniture/equipment
8764,24,female,1,rent,Moderate,Moderate,4811,30,car
3601,33,male,1,own,moderate,little,727,12,radio/TV
7644,24,female,2,own,little,moderate,1237,8,furniture/equipment
5050,22,male,1,rent,little,moderate,276,9,car
5212,40,male,0,free,little,moderate,5381,48,vacation/others
1703,25,male,2,own,moderate,Rich,5511,24,furniture/equipment
8507,26,female,2,own,little,rich,3749,24,furniture/equipment
2402,25,male,1,own,little,moderate,685,12,car
3264,29,male,1,own,Moderate,rich,1494,4,car
3480,31,male,2,own,little,little,2746,36,furniture/equipment
9931,38,male,1,own,little,little,708,12,furniture/equipment
4398,48,female,1,own,Moderate,moderate,4351,24,furniture/equipment
9522,32,male,2,own,little,Rich,701,12,education
2354,27,female,1,own,little,little,3643,15,furniture/equipment
9267,28,male,3,own,little,moderate,4249,30,car
3569,32,male,2,own,little,little,1938,24,radio/TV
5875,34,male,3,free,little,little,2910,24,car
6150,28,male,2,own,rich,little,2659,18,furniture/equipment
2427,36,female,2,own,little,Rich,1028,18,car
7905,39,male,1,own,little,little,3398,8,car
9704,49,male,2,rent,little,little,5801,12,furniture/equipment
1261,34,female,2,own,rich,Rich,1525,24,car
8556,31,male,2,own,little,rich,4473,36,radio/TV
8023,28,male,2,own,little,moderate,1068,6,radio/TV
8263,75,male,3,free,little,little,6615,24,car
7368,30,female,2,own,moderate,Rich,1864,18,education
2805,24,female,3,own,moderate,moderate,7408,60,car
9354,24,female,1,rent,moderate,Moderate,11590,48,car
7395,23,male,2,rent,little,little,4110,24,furniture/equipment
3432,44,male,3,rent,little,little,3384,6,furniture/equipment
9732,23,female,1,own,little,moderate,2101,13,radio/TV
9074,24,female,2,rent,little,little,1275,15,domestic appliances
3829,28,male,2,own,little,little,4169,24,furniture/equipment
5107,31,male,1,own,little,moderate,1521,10,furniture/equipment
8052,24,female,2,free,little,moderate,5743,24,education
8692,26,female,1,rent,little,little,3599,21,furniture/equipment
4491,25,male,2,rent,quite rich,moderate,3213,18,radio/TV
1867,33,male,3,own,little,moderate,4439,18,business
2138,37,male,1,own,little,rich,3949,10,car
7489,43,female,1,own,little,Moderate,1459,15,radio/TV
1734,23,male,2,own,little,moderate,882,13,radio/TV
8144,23,female,0,rent,quite rich,moderate,3758,24,radio/TV
3709,34,male,1,own,moderate,Moderate,1743,6,business
6161,32,male,2,free,rich,moderate,1136,9,education
4129,23,female,2,rent,little,little,1236,9,domestic appliances
4016,29,female,2,own,little,moderate,959,9,furniture/equipment
8576,38,male,3,own,Rich,Rich,3229,18,car
8643,28,male,2,rent,little,little,6199,12,radio/TV
9537,46,male,2,free,quite rich,little,727,10,education
7725,23,male,1,own,little,moderate,1246,24,car
1415,49,male,2,own,Rich,Rich,2331,12,radio/TV
6344,26,male,3,own,little,Rich,4463,36,radio/TV
1693,28,male,2,own,little,Rich,776,12,radio/TV
4772,23,female,2,rent,little,little,2406,30,furniture/equipment
7754,61,male,2,free,little,moderate,1239,18,education
4354,37,male,3,own,Rich,rich,3399,12,radio/TV
7003,36,female,2,own,little,rich,2247,12,car
9586,21,male,2,rent,little,little,1766,6,furniture/equipment
6947,25,male,0,own,little,little,2473,18,furniture/equipment
3863,36,male,2,own,little,Rich,1542,12,business
5330,27,male,2,own,little,Rich,3850,18,car
1487,22,female,2,rent,little,little,3650,18,furniture/equipment
2252,42,male,2,own,little,little,3446,36,furniture/equipment
4846,40,female,2,rent,little,moderate,3001,18,furniture/equipment
3016,36,male,2,own,Rich,Rich,3079,36,car
1386,33,male,2,own,little,Rich,6070,18,radio/TV
2631,23,female,2,rent,little,little,2146,10,furniture/equipment
1398,63,male,3,free,little,little,13756,60,car
8621,60,female,3,free,moderate,moderate,14782,60,vacation/others
8925,37,female,2,rent,little,little,7685,48,business
4015,34,male,2,own,little,Rich,2320,18,radio/TV
7845,36,male,2,free,little,little,846,7,radio/TV
4659,57,male,3,free,little,moderate,14318,36,car
1148,52,female,1,own,moderate,Moderate,362,6,car
2808,39,male,2,own,Rich,little,2212,20,furniture/equipment
6329,38,female,3,free,little,moderate,12976,18,car
4777,25,female,2,rent,little,little,1283,22,car
9247,26,male,2,own,little,rich,1330,12,car
6989,26,male,1,own,moderate,Moderate,4272,30,business
3159,25,female,2,own,little,Rich,2238,18,radio/TV
4430,21,female,2,rent,little,little,1126,18,radio/TV
7865,40,male,3,own,little,moderate,7374,18,furniture/equipment
7925,27,male,2,own,quite rich,moderate,2326,15,business
2164,27,female,2,own,little,Rich,1449,9,business
4448,30,male,3,own,little,Rich,1820,18,car
7215,19,female,1,rent,rich,moderate,983,12,furniture/equipment
5392,39,male,3,free,little,little,3249,36,car
7989,31,female,2,own,little,little,1957,6,radio/TV
5201,31,male,3,own,little,Rich,2406,9,furniture/equipment
9028,32,male,2,rent,moderate,moderate,11760,39,education
1621,55,female,3,free,little,little,2578,12,furniture/equipment
5308,46,male,2,own,little,little,2348,36,furniture/equipment
3428,46,male,2,rent,little,moderate,1223,12,car
7293,43,female,1,own,rich,Moderate,1516,24,radio/TV
5446,39,male,2,own,little,Rich,1473,18,radio/TV
8351,28,male,2,own,Rich,moderate,1887,18,business
3665,27,male,2,own,little,Rich,8648,24,business
2469,27,male,1,own,little,Moderate,802,14,car
9302,43,male,2,own,Rich,moderate,2899,18,car
1024,22,male,2,own,little,moderate,2039,24,radio/TV
1618,43,male,2,own,Rich,Rich,2197,24,car
1194,27,male,2,own,little,little,1053,15,radio/TV
5417,26,male,3,own,quite rich,Rich,3235,24,radio/TV
5690,28,male,2,own,quite rich,rich,939,12,car
2870,20,female,2,own,little,moderate,1967,24,radio/TV
7678,35,male,3,own,little,Rich,7253,33,car
4773,42,male,3,own,little,Rich,2292,12,business
6982,40,male,1,rent,quite rich,Moderate,1597,10,car
5481,35,female,2,own,Rich,little,1381,24,car
2115,35,male,2,own,little,Rich,5842,36,car
8318,33,male,1,own,little,little,2579,12,car
1956,23,female,2,rent,little,little,8471,18,education
7958,31,female,3,own,quite rich,Rich,2782,21,car
2294,33,female,2,own,Rich,moderate,1042,18,car
3347,20,female,2,rent,rich,little,3186,15,car
1244,30,male,2,own,Rich,moderate,2028,12,car
7982,47,male,1,own,little,moderate,958,12,car
4510,34,male,3,own,moderate,Rich,1591,21,furniture/equipment
9684,25,female,2,own,Rich,moderate,2762,12,furniture/equipment
4614,21,male,2,rent,little,moderate,2779,18,car
1809,29,male,2,own,little,Rich,2743,28,radio/TV
7476,46,male,2,own,rich,Rich,1149,18,radio/TV
3902,20,male,2,own,little,Rich,1313,9,furniture/equipment
8120,55,female,0,free,little,little,1190,18,repairs
8252,74,male,1,own,little,Moderate,3448,5,business
9320,29,male,3,own,little,moderate,11328,24,vacation/others
9284,36,male,3,free,little,little,1872,6,furniture/equipment
8782,33,male,2,own,little,Rich,2058,24,repairs
5872,25,male,2,own,little,little,2136,9,furniture/equipment
9599,25,male,2,own,Rich,moderate,1484,12,radio/TV
6751,23,male,1,rent,quite rich,Moderate,660,6,repairs
9934,37,female,2,own,rich,Rich,1287,24,car
3287,65,male,0,own,little,little,3394,42,repairs
4927,26,female,0,own,little,rich,609,12,business
9855,39,male,3,own,little,Rich,1884,12,car
4581,30,female,2,own,little,little,1620,12,furniture/equipment
7291,29,male,2,own,little,moderate,2629,20,vacation/others
5020,41,male,1,own,little,Moderate,719,12,education
5592,30,female,3,own,little,moderate,5096,48,furniture/equipment
7459,41,female,1,rent,Moderate,Moderate,1244,9,education
9697,34,female,2,own,little,little,1842,36,car
5909,35,male,2,own,little,moderate,2576,7,radio/TV
8335,55,female,3,own,Rich,rich,1424,12,furniture/equipment
9291,61,male,2,own,rich,moderate,1512,15,repairs
5325,30,male,3,own,Rich,Rich,11054,36,car
7823,29,female,2,own,little,Rich,518,6,radio/TV
7724,34,male,2,own,little,Rich,2759,12,furniture/equipment
9622,35,male,3,own,little,Rich,2670,24,car
6771,31,male,2,own,little,little,4817,24,car
7299,29,female,3,own,little,Rich,2679,24,car
2001,36,male,2,rent,little,little,3905,11,car
1011,35,male,2,free,little,little,3386,12,car
5182,27,female,2,own,little,little,343,6,domestic appliances
6105,32,male,2,own,little,Rich,4594,18,radio/TV
3278,37,male,2,own,little,little,3620,36,furniture/equipment
5290,36,male,2,own,little,little,1721,15,car
3722,34,female,3,rent,little,moderate,3017,12,furniture/equipment
8459,38,male,2,own,Rich,moderate,754,12,education
2418,34,male,2,own,little,Rich,1950,18,business
4759,63,male,2,own,little,little,2924,24,car
8084,29,female,1,rent,little,little,1659,24,radio/TV
1121,32,male,2,own,Rich,Rich,7238,48,radio/TV
3772,26,female,2,own,little,Rich,2764,33,business
6493,35,male,1,own,little,Moderate,4679,24,car
3213,22,male,2,rent,moderate,moderate,3092,24,radio/TV
3367,23,female,2,own,little,little,448,6,education
8329,28,male,1,own,little,little,654,9,car
8605,36,male,3,own,Rich,Rich,1238,6,education
6203,33,male,2,own,little,moderate,1245,18,radio/TV
4837,26,female,2,rent,little,little,3114,18,furniture/equipment
4851,24,male,2,own,quite rich,Rich,2569,39,car
8557,25,male,2,own,little,rich,5152,24,radio/TV
5192,39,male,1,own,moderate,moderate,1037,12,business
3061,44,male,2,own,little,little,1478,15,furniture/equipment
3391,23,female,1,own,little,moderate,3573,12,radio/TV
6944,26,male,2,own,little,moderate,1201,24,car
6709,57,female,2,rent,rich,little,3622,30,furniture/equipment
8251,30,female,2,own,rich,Rich,960,15,furniture/equipment
1737,44,male,2,own,quite rich,Rich,1163,12,car
7530,47,male,3,own,little,moderate,1209,6,car
9313,52,male,2,own,little,Rich,3077,12,radio/TV
7079,62,female,2,free,little,little,3757,24,car
8104,35,male,1,rent,moderate,Moderate,1418,10,car
5046,26,male,2,rent,little,little,3518,6,car
3603,26,male,2,own,little,Rich,1934,12,radio/TV
3794,42,female,3,free,little,moderate,8318,27,business
8570,27,female,2,own,moderate,Rich,1237,6,radio/TV
1067,38,male,2,own,Rich,moderate,368,6,radio/TV
7041,39,male,1,rent,little,little,2122,12,car
